Gene,Score
PCSK9,0.029264959
TMEM173,0.007958071
TBK1,0.047483627
CD27,0.0076671806
CD70,0.0007436858
EDAR,0.001575407
EDA,0.0011124096
EDA2R,0.00029887515
TNFSF18,0.00024680022
TNFRSF18,0.0011530849
TNFRSF4,0.00080876844
TNFSF4,0.00627475
TNFRSF25,0.0028325242
TNFSF15,0.0013621171
TNFSF8,0.4887939
TNFRSF8,0.0003306227
TNFSF9,0.0019292276
TNFRSF9,0.009621395
PTK6,0.0013066953
KHDRBS1,0.1734771
ARAP1,0.0015268852
AKT1,0.99321026
DOK1,0.10031634
PTPN1,0.16460778
STAP2,0.010437656
SOCS3,0.61649257
ITGA10,0.004208636
GP6,0.00061091775
RAF1,0.97971076
YWHAZ,0.26158065
PDPN,0.00025496364
CLEC1B,0.007133826
PDGFA,0.0031978395
PDGFB,0.0001796146
ITGAM,0.00011374843
ITGB2,0.020049825
JAM2,0.030813774
JAM3,0.0034693268
ITGA4,0.004006754
ITGAL,0.021256814
ITGAX,0.0010683597
CD48,0.041519333
CD244,0.007366024
CD58,0.0024700933
CD2,0.0034878135
ITGA5,0.011955193
JAML,0.0027976993
CXADR,0.021092156
MIF,0.003573111
CD74,0.001454279
TEK,0.005244548
ANGPT1,0.0018442869
ANGPT2,0.0023841532
ANGPT4,0.0032090063
INPP5D,0.005281008
PLCG1,0.24886972
BSG,0.004988507
PPIL2,0.00036304316
CAV1,0.3248632
PPIA,0.00010579332
SLC7A7,0.016816666
SLC3A2,0.47709295
SLC7A8,4.69369e-05
SLC7A9,0.00062970276
SLC7A11,0.04308157
SLC7A5,0.00051306665
SLC7A10,0.02064328
SLC7A6,0.0017295667
GAD2,0.000102246806
GAD1,0.16966204
HTR3D,0.0020039626
HTR3A,2.6617909e-06
HTR3E,0.004055318
HTR3B,0.0010606338
HTR3C,0.00041934915
SMAD2,0.57865363
GBA,0.0033073777
PSAP,0.009233829
LY86,0.06530568
CD180,0.21697347
COLEC11,0.0013726209
MASP1,0.43869823
GJB1,2.5266807e-05
GJB2,0.0010861482
GJA1,0.0019632045
TJP1,0.04619288
NEDD4,0.98245424
PPM1B,0.64849865
FLNB,0.64742607
IL33,0.0045695677
IL1RL1,5.8649966e-05
IL37,0.0064934115
CSF2RB,0.099315055
CSF2RA,0.0050505702
CSF2,0.0016183533
IL5RA,0.011719677
IL5,0.00059431646
TEC,0.4324265
VAV1,0.26391563
BLNK,0.00045200982
IL4R,0.81831306
IL13RA1,0.006859265
IL13,0.112773314
IL13RA2,0.21047126
IL7R,0.05474149
SMARCA4,0.04935421
BRWD1,0.011863798
IL22RA2,0.0045944
IL22,0.00047255322
IFNLR1,0.0037034631
IL16,0.05007676
IL32,0.02121453
PRTN3,0.0033488858
FLT3,0.040128432
FLT3LG,0.00026523005
CSF3,0.023478527
CSF3R,0.015026459
TXLNA,0.00040474033
STX1A,6.576232e-06
GHR,0.058005635
PRLR,0.06712729
TRAF3,0.99369794
TNFRSF1B,0.12101521
CD40LG,0.0043018954
CD40,0.018492468
TNFRSF13C,0.018310266
TNFSF13B,0.019812921
PAG1,0.91798925
CSK,0.941961
PTPN22,0.005523845
LAT,0.0011171204
FYB1,0.010299465
NCK1,0.011548854
MAP3K7,0.5263157
TAB2,0.99107474
ICOS,0.015380514
ICOSLG,0.006761628
TNFRSF14,0.0054669357
BTLA,0.00057942804
CD80,0.0042829504
CD28,0.002392507
CD86,0.0005199371
NFKBIA,0.7001809
CLTC,0.9979407
CLTA,0.007188375
HLA-DMB,0.0069728857
HLA-DMA,0.017940484
CD96,0.003133449
ITGB7,0.053435486
HLA-E,0.06979321
CDH1,0.120062456
KLRG1,0.00023100726
CD226,0.025033051
CD200,0.009995713
CD200R1,0.0026054916
HLA-G,0.8233792
KIR2DS2,0.0025858139
CLEC2D,0.00026177894
KLRB1,0.0036665588
XDH,0.0031095152
BTN1A1,0.0036141877
ITGB6,0.046806745
TGFB1,0.118010215
LTBP4,0.0145671
ITGA8,0.045127526
ITGB8,0.000603954
SNCAIP,0.13197365
PRKN,0.006826857
SNCA,0.05248134
USP9X,0.00420895
SORL1,0.014042162
APP,0.008853654
ATG12,0.0010249414
ATG7,0.0039348295
ATG10,0.00091462146
ATG5,0.02015333
CIDEA,0.0014283124
CIDEC,0.013888645
PDGFRB,0.37165496
PDGFRA,0.5914318
TGFBR2,0.5495763
YWHAB,0.017225703
MAP2K2,0.4512678
MAP2K1,0.6187983
KSR1,0.013188411
MARK3,0.007998657
CDK9,0.05365971
CCNT1,0.00048526446
ISCA2,0.0009321474
ISCA1,0.0020748945
NLRX1,0.0013815535
MAVS,0.005169462
ROBO1,0.003333794
SLIT2,0.004639575
NTF3,0.002992823
AKAP5,0.0009300773
ROBO3,0.005951842
CFH,0.0073095043
CD19,0.03316643
CD81,0.016417518
SERPING1,0.0059073633
C1S,0.0009094615
C1R,0.040754855
CPN2,0.0026248551
CPN1,0.099088304
L1CAM,0.01692328
NRP1,0.009770829
ITGA9,0.0060360073
MAPK3,0.99595153
MAPK1,0.6451382
C6,0.0056612715
FARSA,0.0025614337
FARSB,0.00032747939
HBB,0.024577271
HBA1,0.00031046872
HBA2,0.014012379
SMURF2,0.011597614
SMURF1,0.3854869
NEDD4L,0.079206176
STUB1,0.7899191
UBE2M,0.0022336438
NEDD8,0.000697125
RNF20,7.892537e-05
RNF40,0.0002993234
FRK,0.009301669
TRIM27,9.046343e-05
ITGA11,0.0024797267
ITGAD,0.007010229
ITGAE,0.0062905047
HSPG2,0.01365713
LDHA,2.0534226e-06
LDHB,0.00048781335
SUCLG1,0.00012859139
SUCLG2,0.00023794793
SUCLA2,6.0566148e-05
TIMP1,0.005960182
MMP9,0.36759087
MMP14,0.0046031685
TIMP2,0.0037951297
RBBP7,0.007435974
HAT1,0.00783447
PAX3,0.03797114
NCOA1,0.18307403
BAP1,0.00064844155
HCFC1,0.028772417
TAB1,0.17578088
SKP2,0.10590778
UFD1,0.0008143597
VCP,0.066589735
YOD1,0.002644027
ZRANB1,7.3187744e-05
APC,0.0050819335
ATXN3,0.0033636813
STAMBP,0.0021143446
STAM,0.0009072713
NTRK3,0.40690985
PTPRS,0.0012415869
SERPINE1,0.0043716473
VTN,0.005575601
DAG1,0.9196376
AGRN,0.020696688
BCL10,0.9566083
SLIT1,0.0021929992
RALGAPA2,0.004169165
RALGAPB,0.00042169102
GOLGB1,0.0015856345
ACBD3,0.00046365164
