Gene,Score
C1QBP,0.00047326362
F8,0.012617088
VWF,0.0013490937
F9,0.120748706
F13B,0.00024750433
F13A1,0.00081004377
PROC,0.0034488726
PROCR,0.012327377
LY96,0.18861695
TLR4,0.3641888
S100A9,0.0051817405
S100A8,0.013448022
JUND,0.83113575
FOSB,0.05430932
CFB,0.0008635515
C3,0.0011116634
CKM,0.005430071
CKB,5.4987606e-05
PRDX6,0.0024566653
GSTP1,0.010848741
HSF1,0.006217226
HSBP1,0.000485043
YWHAE,0.12351757
CCAR2,0.005704495
SIRT1,0.57227933
ID1,0.4527982
ETS2,0.53135103
ERF,0.037094947
MAP3K5,0.94090265
CDKN2B,0.5601878
CEBPB,0.9699715
CLEC4C,2.4683444e-05
FCER1G,0.006002458
CLEC4E,0.00034830312
MAP3K14,0.007026152
CHUK,0.039135203
NFKB2,0.001520308
RELB,0.33862412
MALT1,0.012125229
CASP8,0.06129153
CD209,0.021580726
ICAM2,0.004837399
GTSE1,0.0008130791
CDC20,0.06915813
MAD2L1,0.02274229
MYC,0.028740296
CDK2,0.14350487
CCNE1,0.7262984
GMNN,0.17667617
CDT1,0.017450273
DBF4,0.00083046115
CDC7,0.0037741638
CCNA1,0.22059512
CCNA2,0.14125863
PHLDA1,0.0010763525
CTDNEP1,0.0022993376
CNEP1R1,0.0039493474
ESPL1,0.0014357222
PTTG1,0.0023321973
MAU2,0.012394087
NIPBL,0.005650754
FBXO5,0.055765443
FERMT2,0.0011693287
FBLIM1,0.029882282
ITGB1,0.64070255
ILK,0.0035775409
PARVA,0.0041711847
ARHGEF6,0.008353456
PARVB,0.0012162095
RSU1,0.00076927175
LIMS1,0.00414265
ACTN1,0.017274592
ITGA6,0.004184594
ITGB4,0.003886049
CD47,0.025049929
SIRPA,0.4497027
SIRPG,0.014464578
NPHS1,0.0058085457
KIRREL1,0.0016450415
PPL,0.0007237448
EVPL,0.0007792978
KAZN,0.005653195
KLK5,0.0057378695
SPINK5,0.0008443036
KLK12,0.0030977747
SPINK6,0.005833694
KLK13,1.5280719e-05
KLK14,0.00036743347
SPINK9,0.00027657105
FGFR1,0.1645527
ANOS1,0.0025320721
ABCA1,0.07760592
