Gene,Score
GMNN,0.0073700035
CDT1,0.0030405934
DBF4,0.00039090207
CDC7,0.00041677093
CCNA1,0.049683902
CCNA2,0.00064206595
PHLDA1,0.00018060122
CTDNEP1,0.0006153425
CNEP1R1,4.7548518e-05
ESPL1,0.02464115
PTTG1,0.0020150898
MAU2,0.0017834132
NIPBL,0.9892292
FBXO5,0.0012852149
FERMT2,1.1795235e-05
FBLIM1,4.6172154e-05
ITGB1,0.23257631
ILK,0.004262094
PARVA,0.0072295116
ARHGEF6,0.03136175
PARVB,0.030498656
RSU1,0.0038452588
LIMS1,0.0059942584
ACTN1,0.22688976
ITGA6,0.038508702
ITGB4,0.48876595
CD47,0.00049192744
SIRPA,0.005673283
SIRPG,0.0007672997
NPHS1,0.0076834722
KIRREL1,0.0028088815
PPL,0.00347657
EVPL,0.004943895
KAZN,0.00037140597
KLK5,0.0021027755
SPINK5,0.0017011773
KLK12,0.0018918612
SPINK6,4.4990335e-05
KLK13,8.953399e-05
KLK14,2.625489e-06
SPINK9,1.7566033e-05
FGFR1,0.02747487
ANOS1,0.00017712136
ABCA1,0.031027151
APOA1,0.0002328482
ANGPTL3,3.0690966e-08
ANGPTL8,1.7018969e-05
UBA2,0.00025479958
SAE1,0.013501039
CCND3,0.05757594
MAPK6,0.0041930713
ITGA3,0.012055993
ITGA7,0.0027281928
ITGA2,0.017537994
ITGA1,0.107420065
ATP6AP2,3.1268187e-06
REN,0.008532047
NSUN4,2.6714146e-05
MTERF4,2.753569e-05
ITGB3,0.029745206
ITGA2B,0.011163635
LDLR,0.006734867
PCSK9,0.00035753121
TMEM173,0.0031731476
TBK1,0.17290933
CD27,0.00026764226
CD70,2.5953024e-05
EDAR,0.00014923014
EDA,0.032271173
EDA2R,0.012895951
TNFSF18,1.0900978e-05
TNFRSF18,0.000111100926
TNFRSF4,3.0410623e-05
TNFSF4,6.639707e-07
TNFRSF25,0.0005649684
TNFSF15,6.5938716e-06
TNFSF8,0.014786685
TNFRSF8,0.0007394764
TNFSF9,0.0007709567
TNFRSF9,3.616024e-05
PTK6,0.044286963
KHDRBS1,0.0019230623
ARAP1,0.13356821
AKT1,0.98528415
DOK1,0.008165805
PTPN1,0.00032744877
STAP2,0.0015562687
SOCS3,0.018360183
ITGA10,0.0010787098
GP6,0.0014096816
